Key,Ort_R,Std_R,Car_R,Bas_R,Ort_G,Std_G,Car_G,Bas_G,Ort_B,Std_B,Car_B,Bas_B,Like,Boy_3/4 kol,Boy_Kısa Kol,Boy_Uzun Kol
1,0.8333333333333068,0.8713305186045377,0.8882467364352107,0.0100542961181775,0.1581027667984189,0.8743809337524198,0.8843734973783737,0.0087675950465964,0.7843137254901447,0.9045035419160606,0.9062607366022272,0.0070392633054343,0.3103448275862069,0,1,0
2,0.300813008130028,0.6766853823879591,0.7220784581471256,0.0362946517953807,0.0237154150197628,0.6796700815252188,0.7177053206143338,0.0323958846198411,0.1176470588235294,0.6946214144649411,0.7206855801190357,0.0329548244347511,0.4426508071367884,0,1,0
4,0.4674796747967213,0.6972424324605717,0.7451996500467588,0.0325966556703157,0.2015810276679324,0.711438992347103,0.7502962852559958,0.0273248250593177,0.0862745098038958,0.717420780884184,0.7521480213670524,0.0291400655693095,0.4504528502930208,0,1,0
10,0.8292682926829269,0.4760659390341708,0.601339812153457,0.0932997439806348,0.7272727272727274,0.4953129319697285,0.6133736027643282,0.0786066800947008,0.8156862745097783,0.5029996057102607,0.6136527181652263,0.082448735369582,0.3221974758723088,0,0,1
14,0.5894308943089165,0.1716246329448987,0.2781119570361643,0.3856840843235161,0.6758893280631894,0.198084002747489,0.2983499453564198,0.3220354283620774,0.6980392156862488,0.2084135815489861,0.2985475795965377,0.3203582828524315,0.2105263157894736,0,1,0
15,0.2560975609756097,0.596617850698542,0.6578351199679782,0.0537688326409985,0.814229249011832,0.6174272354894723,0.6697548455657165,0.0443137444183326,0.2352941176470588,0.6312360185086802,0.6766516378413325,0.0454218323574826,0.3132530120481928,0,1,0
16,0.0934959349592963,0.6914797297858788,0.6912847004180653,0.0336057190497593,0.6126482213438477,0.7434598036068412,0.7414273043845176,0.0227843902148841,0.313725490196027,0.7698459061524229,0.7638671379916979,0.0214647548605166,0.2941176470588235,0,1,0
22,0.3089430894308677,0.1999132570029633,0.2554314578597975,0.3346157005893197,0.7035573122529646,0.2687011122151549,0.3263094084948279,0.2260920427991404,0.9568627450980136,0.2791338233409643,0.3312528474859049,0.2278730918122698,0.3,0,1,0
28,0.7317073170731707,0.5057001862018564,0.5762431168393163,0.0816611259964922,0.2055335968379446,0.5607075175019658,0.623520656467146,0.0580814803323356,0.0235294117647058,0.6914204394039404,0.7073187065543005,0.03351642384634,0.4341751746372917,0,1,0
29,0.4878048780487805,0.7982002079379311,0.8282926495315495,0.0179199589047034,0.2213438735177606,0.8350404657443558,0.8605260973582878,0.0123370120076977,0.450980392156837,0.8806835924119433,0.8952901700401359,0.0091488483118227,0.5180722891566265,0,1,0
34,0.2113821138211115,0.1576487741908506,0.2637131713779573,0.4142507879835222,0.7509881422924902,0.1811854631824889,0.2828567905175202,0.3515390849267288,0.8862745098038959,0.2074324048175402,0.3041823501975447,0.3219126975863501,0.3339882121807465,0,1,0
35,0.9390243902439024,0.5787251414674597,0.6007186464143313,0.0584734172751584,0.5335968379446123,0.6170435878633134,0.6327998945573383,0.0443971015905749,0.7647058823529411,0.6269755535429621,0.6378564336189196,0.0463711817795897,0.4722222222222222,0,1,0
37,0.951219512195122,0.7313715713855318,0.7714580662923716,0.0270371870102046,0.972332015810225,0.7969531824758027,0.8285570772570667,0.0162783339583058,0.8509803921568371,0.8446602632623871,0.8697384676593414,0.0126638247619296,0.3705302096177558,0,1,0
47,0.3983739837397841,0.5152662350670691,0.6101589193782857,0.0782091611728441,0.0869565217391304,0.540308140574822,0.6285934682288636,0.0638790029186745,0.8627450980391901,0.5607986710045557,0.6407822567945534,0.0633666282950541,0.427536231884058,0,1,0
51,0.3252032520324671,0.3263211899766504,0.3575401672665643,0.1833252531808685,0.0790513833991835,0.3377883191168918,0.3676617453003556,0.1624420789090606,0.4588235294117647,0.325765049320969,0.3457592617314826,0.1834254025838073,0.4088785046728972,0,1,0
53,0.4146341463414634,0.4777539130708386,0.5331788256447048,0.0925971892319548,0.9644268774703558,0.575423023155941,0.6184541764877389,0.0541951637803816,0.7764705882352941,0.625011689015272,0.6594080363368953,0.0468144936010283,0.3567093728927848,0,1,0
58,0.2804878048780488,0.9325478237482232,0.9404551407789596,0.0047679117225633,0.0118577075098814,0.931828650730018,0.9405123263262216,0.0043215120210011,0.4313725490195564,0.9422193629176192,0.9501290036447604,0.0040089739399625,0.4335664335664335,0,1,0
67,0.7357723577235507,0.6490434270012813,0.658985695494017,0.0417335425304732,0.1541501976284067,0.7028668205334441,0.7058668368635483,0.0286341568877663,0.6980392156862488,0.7675425925172717,0.7586733335497202,0.021772570961893,0.4815950920245399,0,1,0
79,0.8739837398373451,0.5148645857580771,0.609312839145002,0.0783501206379489,0.6916996047430831,0.5428025771659091,0.632434325068681,0.0631416757697648,0.901960784313674,0.5465713126343886,0.6213139251665118,0.0676480408717873,0.279646017699115,0,1,0
80,0.524390243902439,0.5166738417999579,0.6075270919038369,0.0777124512951114,0.2371541501975766,0.5416831231263843,0.6178816850015629,0.0634720059720319,0.0274509803921568,0.5512779557512418,0.6133337288693574,0.0662060232755848,0.3839662447257383,0,1,0
83,0.4186991869918433,0.3846228185179456,0.4876755886788275,0.1406134721547374,0.7905138339920691,0.4106588512020435,0.5045190645057707,0.1158297033928454,0.301960784313674,0.4394749803804926,0.522628024586544,0.1096553097267637,0.3927025355596784,0,1,0
84,0.4065040650406237,0.6749891264458538,0.769687803973695,0.0366123399194721,0.9881422924901186,0.6887007248562897,0.7768783469044189,0.0308909134363661,0.8431372549019094,0.6774497236490066,0.7677106192834662,0.036044662815312,0.4352941176470588,0,1,0
85,0.1829268292682926,0.6041170206442397,0.653904308219496,0.0518936034119309,0.9011857707509364,0.644693591782467,0.6807732349013385,0.0387347539863461,0.8470588235294118,0.6513611816554082,0.7002101496926199,0.0411355458711185,0.5904761904761905,0,1,0
89,0.8658536585365854,0.756696178348399,0.7791957673705496,0.0233296224982596,0.7470355731224779,0.7631515949047756,0.7800219301547597,0.0202439712174549,0.2941176470588235,0.7910693977934699,0.799792195019772,0.018736825573783,0.4105960264900662,0,1,0
91,0.2439024390243902,0.7319768166967631,0.7622795774129367,0.0269455634189177,0.4347826086956263,0.7878688159742793,0.8128180679712296,0.0172985784742182,0.8431372549019094,0.8357731139819521,0.8513475422665677,0.0135969549392556,0.4761904761904761,0,1,0
92,0.1585365853658536,0.6077953446536573,0.6370839566110127,0.0509937843128508,0.774703557312253,0.637683186718208,0.6578434721687527,0.0401125465033588,0.1960784313724976,0.6737758195569091,0.6788025589964937,0.0367329127820131,0.2226277372262773,0,1,0
98,0.5203252032519792,0.6623635440651072,0.6904030231238829,0.0390422126404717,0.1462450592885375,0.6843262981094005,0.7064820731284558,0.0316140008846593,0.3960784313724976,0.7201322689953219,0.7363064708610052,0.0287065628177165,0.4576564120290356,0,1,0
100,0.6097560975609756,0.4616427557301967,0.5204156081252977,0.099530812994325,0.6047430830039008,0.4748789414185632,0.5296641526620307,0.0863203173280285,0.113725490196027,0.4660806219613035,0.5144267266033133,0.0973319576210488,0.4024284475281873,0,1,0
102,0.6300813008129549,0.6176263118823724,0.7101068333610427,0.0486503815535394,0.0118577075098814,0.6384687866801722,0.7228805824858446,0.0399574941635652,0.0509803921568627,0.6611588690004105,0.739955266250288,0.0391662810906594,0.5,0,1,0
106,0.7723577235772091,0.672567869989011,0.7364424706129329,0.0370689611490395,0.1778656126481695,0.7048853413069072,0.762674130703918,0.0283220503800011,0.6313725490195564,0.7104196977263725,0.7559817058975284,0.0302772722188244,0.50625,0,1,0
109,0.1788617886178329,0.6328060839312335,0.643490306053198,0.0452051055051433,0.106719367588881,0.5425658047071693,0.5686343678068848,0.0632124763449371,0.6078431372548505,0.5148781432790451,0.5653723769085675,0.0781421574673792,0.4568627450980392,0,1,0
110,0.0813008130080768,0.2488751117378052,0.2602209212986914,0.2635635412608307,0.8260869565217134,0.2632719156172615,0.2693747027377416,0.2321759319332842,0.239215686274484,0.2552174697960019,0.247000075947932,0.2552513643313941,0.8571428571428571,0,1,0
114,0.5650406504064774,0.5287505928127729,0.6021663630599821,0.07357203804278,0.6758893280631894,0.5509033430540515,0.6163282848317071,0.0608045003684534,0.3372549019607329,0.657068385421315,0.6646024895154938,0.0399796786068124,0.5,0,1,0
